log_params,gpu_count,tdp_w,batch_size,log_duration,log_flops,log_tokens,task_enc,train_type_enc,gpu_model_enc,source_enc,label_quality_enc,precision_enc,energy_kwh,log_energy_kwh
9.431363764319837,72.0,1200.0,64.0,1.8845688149183333,19.30319605742049,9.000000000434294,24,0,8,1,0,3,1.81584,0.25907757890750127
9.431363764319837,1152.0,1000.0,64.0,2.876125427678877,19.30319605742049,9.000000000434294,24,0,7,1,0,3,240.2688,2.3806973793468598
9.431363764319837,2560.0,1000.0,64.0,3.0525554379873956,19.30319605742049,9.000000000434294,24,0,7,1,0,3,801.8773333333334,2.9041079374480776
9.431363764319837,5120.0,1000.0,64.0,2.7786576319473553,19.30319605742049,9.000000000434294,24,0,7,1,0,3,852.9066666666666,2.930901509046832
9.431363764319837,8.0,1000.0,64.0,2.7588664933894225,19.30319605742049,9.000000000434294,24,0,6,1,0,3,1.2732,0.10489663029007024
9.431363764319837,16.0,1000.0,64.0,2.5442417274087403,19.30319605742049,9.000000000434294,24,0,6,1,0,3,1.5517333333333334,0.190817089745569
9.431363764319837,32.0,1000.0,64.0,2.2721202088010966,19.30319605742049,9.000000000434294,24,0,6,1,0,3,1.6544,0.21864052167635728
9.431363764319837,1024.0,700.0,64.0,3.8607774698729047,19.30319605742049,9.000000000434294,24,0,10,1,0,3,1444.81792,3.1598131195345514
9.431363764319837,512.0,700.0,64.0,4.154039115727879,19.30319605742049,9.000000000434294,24,0,10,1,0,3,1419.29984,3.152074153809807
9.431363764319837,8.0,1000.0,64.0,3.7068065092767863,19.30319605742049,9.000000000434294,24,0,6,1,0,3,11.3112,1.0535086815096368
9.431363764319837,16.0,1000.0,64.0,4.0183276107989485,19.30319605742049,9.000000000434294,24,0,6,1,0,3,46.35573333333333,1.6661034558802383
9.431363764319837,64.0,1000.0,64.0,3.039953182197476,19.30319605742049,9.000000000434294,24,0,6,1,0,3,19.473066666666668,1.2894343506966852
9.431363764319837,72.0,1000.0,64.0,3.5204101615630017,19.30319605742049,9.000000000434294,24,0,6,1,0,3,66.2688,1.8213091064344278
9.431363764319837,8.0,1000.0,64.0,2.200686375969617,19.30319605742049,9.000000000434294,24,0,6,1,0,3,0.3505333333333333,-0.4552706760463839
9.431363764319837,8.0,700.0,64.0,3.1519028134199294,19.30319605742049,9.000000000434294,24,0,10,1,0,3,2.2053733333333336,0.3434821191174615
9.431363764319837,16.0,700.0,64.0,2.888662399020168,19.30319605742049,9.000000000434294,24,0,10,1,0,3,2.4044533333333336,0.3810163526977471
9.431363764319837,128.0,700.0,64.0,2.2496874278053016,19.30319605742049,9.000000000434294,24,0,9,1,0,3,4.397866666666666,0.6432420585003532
9.431363764319837,64.0,700.0,64.0,1.975615597966895,19.30319605742049,9.000000000434294,24,0,9,1,0,3,1.1640533333333334,0.06597287917643023
9.431363764319837,64.0,1000.0,64.0,3.054053549733432,19.30319605742049,9.000000000434294,24,0,6,1,0,3,20.116266666666668,1.3035473841336433
9.431363764319837,8.0,1000.0,64.0,2.185825359612962,19.30319605742049,9.000000000434294,24,0,6,1,0,3,0.3386666666666666,-0.47022754548939644
9.431363764319837,8.0,700.0,64.0,2.652149605401653,19.30319605742049,9.000000000434294,24,0,10,1,0,3,0.6967333333333333,-0.15693341069306949
9.431363764319837,8.0,700.0,64.0,2.353185062863546,19.30319605742049,9.000000000434294,24,0,10,1,0,3,0.3492533333333333,-0.45685943896995795
9.431363764319837,8.0,1000.0,64.0,2.1924001703601292,19.30319605742049,9.000000000434294,24,0,6,1,0,3,0.3438666666666667,-0.463609919990789
9.431363764319837,8.0,1000.0,64.0,2.491109449605496,19.30319605742049,9.000000000434294,24,0,6,1,0,3,0.6862666666666667,-0.16350709450869416
9.431363764319837,16.0,1000.0,64.0,2.158844773634988,19.30319605742049,9.000000000434294,24,0,6,1,0,3,0.6362666666666666,-0.19636082771082905
9.431363764319837,16.0,1000.0,64.0,2.1504494094608804,19.30319605742049,9.000000000434294,24,0,6,1,0,3,0.624,-0.20481540962159128
9.431363764319837,8.0,1000.0,64.0,2.4812419180129224,19.30319605742049,9.000000000434294,24,0,6,1,0,3,0.6708,-0.17340694541852425
9.431363764319837,8.0,1000.0,64.0,2.145258576965609,19.30319605742049,9.000000000434294,24,0,6,1,0,3,0.3082666666666666,-0.5110734322343814
9.431363764319837,8.0,1000.0,64.0,2.767942080753577,19.30319605742049,9.000000000434294,24,0,6,1,0,3,1.3001333333333334,0.11398789338055872
9.431363764319837,64.0,700.0,64.0,3.3552944023950153,19.30319605742049,9.000000000434294,24,0,10,1,0,3,28.188906666666664,1.4500782316925511
9.431363764319837,16.0,700.0,64.0,2.8740409213373677,19.30319605742049,9.000000000434294,24,0,10,1,0,3,2.324746666666667,0.3663756338587329
9.431363764319837,32.0,700.0,64.0,2.6134400986587902,19.30319605742049,9.000000000434294,24,0,10,1,0,3,2.5487466666666667,0.4063266709725919
9.431363764319837,64.0,700.0,64.0,2.42422807069598,19.30319605742049,9.000000000434294,24,0,10,1,0,3,3.2928,0.5175653532142311
9.431363764319837,8.0,1000.0,64.0,2.1537539064551874,19.30319605742049,9.000000000434294,24,0,6,1,0,3,0.3144,-0.5025174612512859
9.431363764319837,8.0,1000.0,64.0,2.14674801363064,19.30319605742049,9.000000000434294,24,0,6,1,0,3,0.3093333333333333,-0.5095732770968312
9.431363764319837,72.0,1200.0,64.0,1.8714561740229538,19.30319605742049,9.000000000434294,24,0,8,1,0,3,1.7611199999999998,0.2457889493781364
9.431363764319837,8.0,1200.0,64.0,2.5554088655588743,19.30319605742049,9.000000000434294,24,0,8,1,0,3,0.95536,-0.01983294570770812
